id,text,json
50,"Chicken Ole
Dice 4 cooked chicken breasts and mix with 1 can cream of chicken soup, 1 can cream of mushroom soup, 1 can green chili salsa sauce, 1 can green chilies, 1 cup milk, 1 grated onion, and pieces of corn tortillas. Let stand overnight, then bake at 375°F for 1 1/2 hours.","{""title"": ""Chicken Ole"", ""ingredients"": [""4 chicken breasts, cooked"", ""1 can cream of chicken soup"", ""1 can cream of mushroom soup"", ""1 can green chili salsa sauce"", ""1 can green chilies"", ""1 c. milk"", ""1 grated onion"", ""1 pkg. corn tortilla in pieces""], ""directions"": [""Dice chicken."", ""Mix all ingredients together."", ""Let sit overnight."", ""Bake 1 1/2 hours at 375°.""]}"
51,"Creamy Coleslaw
In a large bowl combine 4 cups shredded cabbage, 1/2 cup shredded carrots, 1/4 cup chopped green pepper, and 2 tablespoons chopped onion. Mix separately 1/2 cup mayonnaise, 1 tablespoon vinegar, 2 teaspoons sugar, 1 teaspoon celery seed, and 1/4 teaspoon salt, then toss with vegetables.","{""title"": ""Creamy Coleslaw(Better Homes And Gardens)"", ""ingredients"": [""4 c. shredded cabbage"", ""1/2 c. shredded carrots"", ""1/4 c. finely chopped green pepper"", ""2 Tbsp. finely chopped onion"", ""1/2 c. mayonnaise"", ""1 Tbsp. vinegar"", ""2 tsp. sugar"", ""1 tsp. celery seed"", ""1/4 tsp. salt""], ""directions"": [""In a large bowl, combine cabbage, carrot, green pepper and onion or can use package of slaw mix purchased from store.""]}"
52,"Creole Flounder
Arrange 2 lb flounder fillets in a baking dish. Mix together chopped tomatoes, green pepper, lemon juice, salad oil, salt, onion, basil, black pepper, and red pepper sauce. Spoon mixture over fish and bake at 500°F for 5 to 8 minutes, until fish flakes easily.","{""title"": ""Creole Flounder"", ""ingredients"": [""2 lb. flounder or pollack fillets"", ""1 1/2 c. chopped tomatoes"", ""1/2 c. chopped green pepper"", ""1/3 c. lemon juice"", ""1 Tbsp. salad oil"", ""2 tsp. salt"", ""2 tsp. minced onion"", ""1 tsp. basil leaves"", ""1/4 tsp. coarsely ground black pepper"", ""4 drops red pepper sauce"", ""green pepper rings""], ""directions"": [""Heat oven to 500°."", ""Place fillets in single layer in baking dish, 13 1/2 x 9 x 2-inch."", ""Stir together remaining ingredients except pepper rings. Spoon over fillets."", ""Bake 5 to 8 minutes or until fish flakes easily with fork."", ""Remove fillets to warm platter. Garnish with green pepper rings. Makes 4 to 6 servings.""]}"
53,"Three Bean Salad
Combine 1 can green beans, 1 can yellow beans, and 1 can kidney beans, all drained. Mix together 1 cup sugar, 1/2 cup salad oil, 2/3 cup vinegar, and 1/3 cup water until sugar dissolves, then pour over beans and let stand overnight.","{""title"": ""Three Bean Salad"", ""ingredients"": [""1 can green beans, wash and drain"", ""1 can yellow beans, wash and drain"", ""1 can kidney beans, wash and drain"", ""1 c. sugar"", ""1/2 c. salad oil"", ""2/3 c. vinegar"", ""1/3 c. water""], ""directions"": [""Mix together all of sugar, salad oil, vinegar and water until sugar is dissolved."", ""Pour over beans and let stand overnight.""]}"
54,"Dave’s Corn Casserole
Mix 1 can whole kernel corn, 1 can cream-style corn, 1 cup sour cream, 1 package corn bread mix, and 1 stick melted margarine. Pour into greased pan and bake at 350°F for 50 minutes.","{""title"": ""Dave'S Corn Casserole"", ""ingredients"": [""1 (16 1/2 oz.) can whole kernel corn, drained"", ""1 (16 1/2 oz.) can cream-style corn"", ""1 (8 oz.) sour cream"", ""1 (8 1/2 oz.) pkg. Jiffy corn bread mix"", ""1 stick margarine""], ""directions"": [""In a bowl, mix corns, sour cream, corn bread mix and melted margarine."", ""Pour into a greased 8 x 8 x 2-inch pan."", ""Bake at 350° for 50 minutes.""]}"
55,"Casserole Italiano
Brown 1 lb ground beef with 1/3 cup chopped onion. Add 1 can tomato soup, 1/3 cup water, 1/2 teaspoon oregano, and 1/2 teaspoon salt. Stir in 2 cups cooked noodles, place in casserole, top with 1 cup cheese, and bake at 350°F for 30 minutes.","{""title"": ""Casserole Italiano"", ""ingredients"": [""1 lb. ground beef"", ""1/3 c. chopped onion"", ""1 can tomato soup"", ""2 c. cooked wide noodles"", ""1/2 tsp. oregano"", ""1/2 tsp. salt"", ""1/3 c. water"", ""1 c. cheese""], ""directions"": [""Brown beef with onion and seasonings and combine in a 1 1/2-quart casserole with soup, water and noodles."", ""Place cheese around edges."", ""Bake at 350° for 30 minutes.""]}"
56,"Corned Beef and Cabbage Casserole
Combine 1 shredded cabbage, 1 teaspoon dry mustard, 1 can flaked corned beef, 1 can cream of celery soup, and 1 chopped onion. Cook uncovered over low heat until cabbage is tender, about 20 minutes.","{""title"": ""Corned Beef And Cabbage Casserole"", ""ingredients"": [""1 small cabbage, shredded"", ""1 tsp. dry mustard"", ""1 can corned beef, flaked"", ""1 can cream of celery soup"", ""1 medium chopped onion""], ""directions"": [""Combine all ingredients and cook uncovered over low heat until cabbage is crisp-tender, about 20 minutes.""]}"
57,"Crab Cakes
Mix together 1 tablespoon Worcestershire sauce, 1 teaspoon dry mustard, 2 tablespoons mayonnaise, 1 egg, and Old Bay seasoning to taste. Gently fold in 1 lb lump crab meat and refrigerate before cooking.","{""title"": ""Crab Cakes"", ""ingredients"": [""1 Tbsp. Worcestershire sauce"", ""2 or 3 shakes Old Bay"", ""1 tsp. dry mustard"", ""2 Tbsp. mayonnaise"", ""1 egg""], ""directions"": [""Mix together and carefully add 1 pound lump crab meat."", ""Mix ahead of time and refrigerate so they will hold together better.""]}"
58,"Taco Dip
Mix 2 packages softened cream cheese with 1/2 cup mayonnaise. Spread on a platter and chill briefly. Spread 8 oz taco sauce over top, then layer green onions, green pepper, tomato, Mozzarella cheese, Cheddar cheese, and optional olives. Serve with tortilla chips.","{""title"": ""Taco Dip"", ""ingredients"": [""2 (8 oz.) pkg. cream cheese, softened"", ""1/2 c. mayonnaise or salad dressing"", ""8 oz. mild taco sauce"", ""2 to 4 thinly sliced green onions"", ""1/2 green pepper, chopped"", ""1 tomato, chopped"", ""1 c. Mozzarella cheese"", ""1 c. Cheddar cheese"", ""1/2 c. black olives (optional)"", ""tortilla chips""], ""directions"": [""Mix together cream cheese and mayonnaise."", ""Spread on to a large platter or two dinner plates."", ""Freeze for 15 minutes. Spread taco sauce evenly on top."", ""Layer remaining ingredients in the written order."", ""Serve with tortilla chips.""]}"
59,"Bonbon Cookies
Cream together 1/2 lb soft butter and 1/2 cup peanut butter. Add 1/2 lb graham cracker crumbs, 2 cups coconut, 1/2 cup nut meats, and a dash of vanilla. Mix well, form into balls, and chill several hours.","{""title"": ""Bonbon Cookies"", ""ingredients"": [""1/2 lb. soft butter"", ""1/2 c. peanut butter"", ""1/2 lb. graham cracker crumbs"", ""2 c. coconut"", ""1/2 c. nut meats (optional)"", ""dash of vanilla""], ""directions"": [""Cream together the butter and peanut butter."", ""Add the remaining ingredients."", ""Mix and form into balls (best to mix with your hands) and chill several hours, even a day.""]}"
